500000 4000
2326 131208 155
2344 76616 219
2346 306996 201
2391 103944 41
2418 144547 134
2452 322785 86
2474 42268 112
2497 271604 101
2518 383556 89
2540 290530 55
2555 353381 13
2563 466362 83
2625 47972 72
2641 470113 169
2677 101920 109
2683 492209 52
2689 152916 68
2695 210590 106
2696 454545 121
2697 56526 13
2700 445788 131
2722 475138 25
2767 257159 80
2773 123153 33
2789 387870 43
2796 33798 43
2812 364255 169
2836 439336 73
2851 184470 8
2884 7393 82
2903 330854 91
2945 156162 27
2948 196390 170
2953 119234 195
2981 219558 60
2999 399162 133
3002 407454 18
3030 471626 87
3033 87520 97
3038 354950 113
3041 216639 65
3060 132740 64
3093 325636 65
3106 195485 10
3107 76750 161
3125 31180 111
3138 16136 208
3148 463891 146
3196 423617 131
3197 457917 143
3205 486522 115
3231 225778 133
3237 435656 183
3249 142324 81
3251 431104 161
3263 301119 176
3285 417669 164
3286 353164 193
3296 309027 184
3317 180578 138
3322 425988 153
3327 454780 12
3343 71180 74
3378 488 49
3390 282520 149
3411 331527 52
3412 463094 34
3420 361214 145
3422 236726 58
3435 143530 49
3439 277387 98
3462 26808 122
3463 124840 165
3511 191882 88
3519 437285 38
3529 448369 130
3548 98914 132
3552 230472 92
3554 18406 120
3555 153450 53
3570 43238 110
3589 293638 44
3594 301137 125
3618 344088 149
3683 206540 203
3691 164183 86
3693 76708 205
3712 290510 141
3719 63662 36
3738 442524 93
3740 399402 74
3751 412832 7
3765 28728 166
3791 57964 83
3819 182399 61
3854 132863 176
3855 481218 179
3886 481178 109
3896 165942 95
3954 242521 125
3960 101056 130
3963 380258 100
3964 289074 59
4008 225599 151
4010 406368 29
4011 365004 30
4034 30647 191
4067 221728 201
4083 463152 173
4087 344667 185
4089 402625 165
4164 385709 181
4167 260787 159
4175 286564 72
4202 269678 105
4204 4082 130
4220 204257 13
4257 205750 65
4267 24288 186
4280 291110 121
4292 234710 117
4319 394786 94
4328 474401 201
4334 157933 192
4335 470100 206
4341 336868 103
4350 404519 162
4371 205498 19
4381 437426 133
4389 303792 101
4395 299380 72
4414 304486 15
4441 457961 157
4443 384662 109
4449 268105 198
4504 94022 209
4518 113565 41
4529 291906 158
4545 143886 49
4551 499063 127
4572 33932 66
4582 495914 111
4601 18082 15
4648 295416 11
4666 217494 215
4667 110789 43
4677 11160 204
4680 112009 129
4686 247500 153
4688 136597 65
4691 353953 17
4692 31978 27
4709 175221 44
4717 389423 208
4722 100293 148
4734 372564 82
4742 400851 64
4758 201973 105
4768 482573 37
4792 130730 34
4796 249080 24
4856 244338 81
4859 113684 149
4876 7842 131
4891 246234 103
4900 75046 142
4911 75458 205
4917 277895 44
4966 59460 208
4994 104099 27
5007 332184 95
5068 318107 120
5116 167343 123
5129 287034 107
5150 420972 146
5159 194804 98
5205 46057 56
5209 120394 89
5217 306597 112
5263 475500 138
5273 330782 111
5287 22898 25
5307 489896 97
5311 79733 90
5312 144766 65
5321 335018 91
5392 408458 99
5395 221651 191
5415 293805 115
5421 194335 6
5429 217802 59
5432 167761 197
5433 197342 201
5447 10238 89
5449 32950 149
5458 433307 123
5460 162884 143
5462 460928 103
5471 235169 109
5474 75272 159
5481 445424 62
5487 384830 84
5502 131756 6
5526 329559 108
5533 395100 99
5537 70946 153
5544 244550 191
5546 384420 166
5552 395349 108
5554 164351 177
5576 5526 21
5587 43745 183
5589 51278 32
5599 143813 53
5609 461656 47
5610 326572 154
5613 81908 125
5643 147864 161
5715 43394 210
5720 229916 89
5727 479031 49
5731 60365 91
5743 451824 208
5744 430788 73
5773 380036 75
5775 350714 213
5785 90513 146
5786 56162 106
5824 434250 104
5842 363248 165
5867 200812 155
5870 357062 213
5925 121232 134
5944 105923 95
5959 400445 43
5975 410420 99
5985 418396 91
6004 381766 45
6036 107077 175
6061 485806 130
6063 134914 139
6077 16942 105
6079 307042 147
6115 400704 127
6119 327167 85
6125 108827 33
6126 409488 31
6170 294848 34
6193 228785 193
6199 473284 9
6276 127157 168
6307 266276 33
6308 334839 43
6336 451064 57
6342 282058 193
6388 7578 47
6389 473819 102
6417 26764 174
6434 169922 17
6482 240572 158
6557 496740 49
6566 127492 197
6572 353609 132
6586 46466 107
6607 278555 55
6645 176144 20
6646 308177 144
6655 484368 89
6707 354694 103
6724 244603 181
6730 195993 80
6765 65668 28
6767 91023 65
6794 485831 195
6795 204 115
6802 21393 70
6807 378651 99
6809 5656 97
6833 117387 43
6844 488910 11
6861 289668 184
6871 245624 160
6888 195840 85
6895 56806 173
6898 467516 31
6905 101111 104
6934 161005 21
6947 441018 131
6951 154828 111
6968 272399 113
6971 81670 113
6986 189776 153
7004 187996 38
7005 63284 102
7025 413674 48
7028 25376 178
7050 371718 83
7088 13694 100
7109 17796 109
7167 352653 150
7175 30413 159
7177 165248 55
7191 337127 28
7230 352894 53
7250 233434 105
7265 239771 137
7275 177904 69
7282 308178 171
7294 247191 204
7300 301654 89
7324 196118 19
7339 233483 28
7351 294508 155
7352 369130 51
7371 46908 187
7379 258171 18
7380 152844 93
7381 122140 106
7408 118949 75
7424 128543 45
7444 435171 77
7462 399476 119
7469 218080 193
7476 497090 154
7486 88573 209
7496 90486 169
7509 266732 181
7525 414344 37
7574 486930 57
7577 184305 131
7595 22887 14
7603 205958 77
7616 148097 201
7620 103488 143
7653 197124 151
7660 316750 16
7672 499002 165
7676 446172 60
7692 128996 95
7714 250532 153
7759 201968 26
7789 287924 94
7802 371725 12
7814 469864 11
7833 446631 143
7836 164484 136
7874 437424 27
7904 320351 169
7910 277010 113
7931 429662 33
7934 171072 150
7945 136627 120
7999 174370 69
8015 167871 193
8059 275358 20
8061 171324 45
8090 258487 136
8096 415126 7
8116 165058 200
8124 40438 147
8132 223402 140
8141 202686 63
8144 37644 7
8151 413828 172
8163 466412 4
8171 194226 95
8180 9803 45
8193 25279 140
8228 236146 207
8231 406714 76
8271 65782 173
8281 254022 153
8306 381150 51
8317 195125 49
8343 495597 124
8369 157437 120
8377 460358 152
8396 401510 84
8412 385802 200
8433 227536 199
8434 61059 3
8481 355993 137
8485 331107 119
8489 45288 25
8492 14230 163
8498 222694 111
8528 112917 20
8569 109939 36
8583 207510 32
8584 84762 82
8624 189090 53
8628 62106 100
8636 387490 188
8658 421492 30
8701 315739 105
8721 139440 122
8724 412694 174
8775 198772 210
8788 61248 51
8793 453697 57
8804 410935 54
8811 28312 187
8813 311082 65
8822 288894 49
8844 233861 209
8847 441628 29
8860 211347 23
8880 324761 61
8895 447186 9
8922 13596 113
8951 418531 4
9006 208965 20
9047 199960 205
9058 245281 45
9064 375232 84
9067 162656 35
9086 464084 189
9101 28520 189
9113 58470 74
9115 84640 26
9121 241081 6
9131 419800 141
9159 292728 201
9233 212853 192
9246 418973 1
9270 402634 126
9279 279684 125
9297 35323 166
9317 336278 12
9323 7196 39
9333 77482 89
9350 286233 24
9392 229066 145
9425 442903 4
9434 140694 50
9458 154238 163
9476 417250 168
9479 435540 9
9533 326125 26
9538 122384 38
9586 183313 172
9587 12452 97
9601 139921 154
9627 351350 19
9661 43308 73
9680 67636 199
9687 425494 173
9717 154640 47
9721 464846 173
9730 170798 26
9758 195203 67
9776 70144 71
9807 53437 160
9814 41786 37
9833 439544 44
9835 7676 54
9841 21765 63
9843 7686 28
9847 90227 86
9863 59007 120
9868 178183 212
9891 427760 211
9901 283272 70
9905 361714 177
9932 317675 99
9996 317352 36
9999 140957 41
10004 453341 50
10011 169814 189
10012 328758 139
10040 65092 162
10067 194562 203
10105 495638 184
10117 496612 200
10136 151945 108
10143 8038 25
10165 418996 64
10170 491678 181
10181 108620 147
10188 158617 9
10201 357169 20
10214 78014 198
10243 340452 81
10261 419532 7
10263 111375 178
10280 487595 111
10312 204888 97
10325 181226 97
10340 423427 181
10348 267606 213
10353 375600 151
10371 141644 20
10403 38926 155
10432 36670 7
10436 305986 114
10440 462181 199
10450 196753 79
10506 417314 59
10511 324179 27
10530 131669 160
10588 169348 1
10602 411736 179
10617 478039 181
10641 177240 115
10656 462542 9
10661 48372 90
10666 51040 61
10675 370530 78
10735 224836 6
10741 445143 111
10788 224532 209
10819 7778 61
10834 325035 205
10849 471400 136
10856 207278 168
10872 450073 66
10887 452148 173
10899 127306 97
10905 374172 129
10949 372570 58
10960 241824 117
10978 14484 62
10981 245019 145
10988 168494 69
11015 210673 197
11018 300790 176
11020 367703 189
11026 268494 21
11027 35435 39
11079 415919 65
11099 348206 165
11102 170326 93
11106 318700 156
11127 94282 168
11144 51834 6
11147 277434 186
11161 154643 33
11189 488349 187
11192 365038 33
11197 394734 17
11200 283204 76
11210 93198 177
11215 295156 93
11287 127935 129
11342 140068 5
11386 70668 125
11390 462316 163
11394 106613 145
11425 465442 216
11456 117011 89
11462 453490 71
11511 227076 109
11514 82068 210
11515 305673 97
11529 274936 169
11536 49860 150
11564 242420 50
11592 246806 22
11597 344916 34
11625 418119 109
11638 119962 129
11643 173040 23
11668 318346 196
11681 106966 99
11709 319508 159
11736 444330 184
11745 347530 19
11780 493346 41
11784 156426 141
11793 400414 168
11802 88197 33
11834 177802 93
11890 119802 78
11894 237524 112
11900 12748 126
11903 67402 12
11909 36101 56
11931 20528 101
11943 41356 94
11954 62648 52
11987 132682 173
11996 307492 104
11998 245377 110
12005 110816 51
12009 276766 79
12053 162066 40
12086 74808 71
12089 31505 1
12096 303018 132
12101 362278 140
12121 309992 103
12126 141108 157
12134 45041 21
12146 463996 70
12160 21001 133
12169 68716 87
12172 158336 85
12201 482005 96
12206 355920 65
12230 339910 160
12231 454084 129
12233 164710 5
12241 91314 214
12262 338841 10
12305 316666 40
12309 121002 190
12328 452178 100
12380 158905 143
12396 324200 141
12409 383946 17
12413 71421 108
12434 27047 208
12445 179010 119
12448 249409 129
12498 133892 185
12502 461628 84
12513 99614 204
12530 498815 163
12549 263246 185
12562 149798 208
12577 424464 131
12585 441432 112
12606 413783 113
12633 247800 135
12728 455120 177
12750 93705 85
12759 34272 23
12782 484020 207
12791 359786 150
12814 66915 88
12842 54461 157
12843 77701 38
12868 182432 114
12937 27667 125
12944 245352 202
12988 88249 133
12993 85039 66
13002 105033 201
13013 332273 122
13038 214112 144
13039 366168 66
13045 301733 58
13054 352962 186
13059 287445 63
13079 8746 133
13080 456900 37
13091 226366 165
13094 262569 19
13122 180929 53
13136 175266 198
13141 86644 92
13163 305829 36
13164 385912 168
13176 215476 145
13217 304750 29
13219 269480 57
13226 226535 157
13249 271934 145
13257 250263 12
13264 174832 178
13289 423209 164
13293 68939 84
13329 156794 167
13337 184788 56
13364 106150 139
13379 384792 156
13394 23910 145
13408 193734 14
13421 351806 77
13447 145610 86
13474 462206 102
13476 114491 14
13514 310448 28
13526 327514 172
13528 137462 65
13549 238000 161
13598 107665 169
13607 180553 185
13624 58925 133
13634 400500 130
13647 125093 141
13675 87902 67
13678 253067 142
13702 309622 31
13718 262434 135
13720 133855 108
13722 142143 57
13738 303783 398
13749 400709 207
13757 37106 94
13767 214854 48
13777 321511 161
13803 391328 66
13819 34974 135
13853 142550 187
13857 261145 111
13860 259994 177
13869 465562 157
13889 201422 45
13912 324921 138
13925 68988 185
13965 311466 142
13985 129056 61
13998 172848 72
14015 110416 74
14017 56440 53
14053 174164 8
14062 126802 3
14092 376744 121
14108 172325 189
14128 217084 144
14138 62217 206
14139 440867 145
14153 214388 163
14158 496640 151
14173 246089 167
14186 171633 122
14202 162542 215
14209 486490 164
14212 491353 141
14214 226084 161
14221 102293 99
14240 361440 87
14254 393640 110
14261 27778 78
14288 175804 169
14304 79376 133
14308 172830 143
14313 186332 181
14324 356951 100
14335 492776 203
14338 457198 55
14367 103169 170
14375 267078 197
14397 229199 67
14415 451290 39
14420 377870 167
14446 436457 198
14449 229986 111
14451 41602 127
14457 278110 34
14461 284876 83
14467 155782 119
14490 235248 124
14504 330194 5
14512 391983 153
14528 195422 205
14566 344019 162
14579 290922 156
14582 168682 151
14605 378240 205
14610 201586 183
14618 233073 120
14658 182680 15
14696 465863 81
14709 268370 200
14737 111966 12
14760 51496 41
14768 158888 91
14785 461088 43
14850 8047 84
14851 83918 149
14864 176659 165
14886 5067 180
14891 192464 13
14927 466732 205
14956 307975 11
14966 315756 89
15007 78418 11
15011 134320 45
15056 284604 179
15078 357575 204
15091 159198 39
15107 466752 47
15126 272449 109
15130 81156 11
15159 457412 145
15173 411233 113
15179 163330 176
15204 262166 7
15207 94710 57
15208 293136 21
15227 477324 6
15245 161738 144
15249 400134 26
15298 474164 94
15361 472254 100
15362 267829 167
15380 490721 89
15402 496254 121
15412 424900 199
15440 164118 79
15442 206088 178
15445 338186 54
15451 356805 81
15452 386645 34
15493 490486 164
15514 19890 18
15577 386856 160
15616 167525 145
15637 403424 59
15669 26674 113
15672 97482 123
15686 392508 207
15701 11492 137
15760 287421 80
15780 77876 81
15787 48035 168
15844 172155 90
15859 185931 63
15867 15560 55
15871 304120 161
15884 101295 83
15906 152192 111
15913 483478 94
15932 351500 143
15968 164863 115
15975 365955 115
15982 310812 166
15983 32524 192
15988 228820 99
15991 268051 33
15999 376896 187
16010 389162 105
16037 101790 97
16040 155980 35
16057 134227 51
16114 465590 69
16118 76174 116
16123 387166 161
16140 206272 115
16175 480754 111
16208 26063 215
16238 428770 41
16257 72103 67
16282 472578 21
16331 96773 19
16343 350480 49
16368 214938 24
16410 376750 181
16422 281034 180
16453 105247 84
16457 474992 82
16460 346748 155
16470 300169 16
16471 261237 85
16478 253908 6
16480 34505 53
16494 178007 41
16506 330890 48
16513 448178 74
16553 5953 1
16570 444344 145
16577 407723 166
16629 436000 173
16657 74469 179
16658 376249 184
16686 99055 195
16720 138716 132
16724 161536 93
16759 413176 127
16766 87640 158
16782 92033 2
16812 266743 39
16821 218534 13
16828 377964 155
16833 113090 209
16837 348099 123
16846 435076 31
16850 185710 101
16886 375926 199
16896 22088 128
16903 49024 56
16905 353028 81
16906 273636 187
16953 176034 142
16965 370910 67
16967 255022 54
16996 318190 74
17018 329490 66
17031 250871 196
17032 376191 157
17034 106248 193
17054 355524 204
17083 463634 65
17087 435848 183
17135 229662 81
17138 434724 101
17151 146599 120
17154 175277 189
17156 164166 61
17162 175410 200
17173 397354 117
17175 51359 150
17184 196918 175
17186 416653 174
17192 223809 121
17229 416848 154
17236 461935 183
17301 462113 103
17323 267780 113
17333 144055 165
17372 124546 166
17374 141487 88
17418 166949 95
17455 189672 15
17469 484690 167
17486 136873 67
17511 425264 137
17520 247476 77
17540 222816 39
17556 365766 29
17579 289982 194
17587 470710 138
17603 443377 137
17631 74094 9
17642 107186 53
17670 81250 105
17708 180172 172
17730 27422 37
17749 265672 130
17764 30026 158
17788 23917 189
17803 96073 70
17861 312061 165
17918 117558 140
17955 342026 60
17957 458634 22
17961 261244 56
17969 6915 120
17971 445530 207
18016 394861 49
18063 178364 183
18120 384222 21
18147 378559 5
18185 271335 193
18210 383453 201
18266 360409 117
18307 371744 59
18321 179738 136
18403 220198 101
18404 239328 205
18413 334183 152
18426 338588 182
18435 290238 93
18454 129997 56
18461 498725 88
18465 287885 75
18472 291869 45
18483 219804 97
18499 269318 153
18503 140258 95
18521 453885 56
18528 123142 4
18536 121572 89
18563 118103 50
18576 271087 41
18577 274070 83
18586 12327 76
18604 406286 96
18625 96322 137
18634 61399 100
18636 52570 175
18662 446482 57
18673 433986 182
18681 429459 6
18690 213452 45
18697 329272 35
18698 408354 81
18711 228350 159
18720 70971 120
18721 229420 98
18735 410376 137
18747 200697 152
18761 103403 7
18763 175676 148
18819 282442 179
18828 115070 44
18841 229474 13
18915 23059 125
18950 98488 60
18952 87500 24
18976 348946 207
18985 404336 118
19014 225222 69
19028 122874 116
19079 286469 187
19085 469798 65
19096 259086 29
19109 95833 199
19110 194950 187
19118 392182 106
19123 70364 129
19125 344425 171
19156 229006 85
19161 323172 73
19169 481920 83
19205 339341 45
19217 54906 137
19220 480105 116
19224 90829 21
19252 231438 4
19276 82532 181
19288 94958 148
19327 136286 4
19334 218659 76
19340 188567 124
19353 224445 125
19381 420861 87
19382 352167 63
19389 424529 29
19390 356332 66
19395 376459 20
19400 128868 17
19416 402294 197
19433 197614 122
19447 308254 175
19468 362160 128
19484 473013 159
19526 181168 115
19538 319578 135
19620 425776 135
19631 280296 77
19632 226394 119
19650 392469 110
19666 354724 76
19697 104193 95
19716 257788 159
19733 403738 107
19748 38172 45
19751 366254 132
19763 190268 52
19772 105086 103
19780 132100 213
19838 299664 29
19849 183296 201
19853 150928 152
19858 45244 45
19876 284482 12
19890 161016 77
19925 17472 7
19932 307342 89
19934 303485 175
19936 432787 191
19944 15864 85
20025 484885 11
20036 296474 82
20078 246570 54
20089 103854 139
20135 401165 117
20140 437128 137
20158 182508 133
20162 290290 153
20163 221438 81
20211 141874 129
20213 474645 101
20278 453765 73
20299 119308 138
20309 163592 180
20337 262837 53
20339 222997 105
20352 47692 38
20398 33172 5
20422 343216 126
20440 366712 109
20481 95372 148
20490 313063 74
20533 238763 175
20544 183552 36
20563 154009 159
20566 137789 174
20574 333842 42
20589 71034 160
20598 112795 102
20646 485846 122
20648 431176 138
20655 397472 183
20660 123792 99
20668 354301 72
20679 243478 41
20693 222346 34
20699 134283 44
20701 183196 169
20711 171000 162
20721 361595 135
20726 66128 24
20769 316882 40
20775 334210 129
20793 166998 86
20813 343076 178
20815 82302 113
20824 221351 5
20873 423013 69
20889 58254 68
20892 265458 119
20938 468030 143
20974 7846 198
20989 479074 188
20992 108010 54
21023 496638 95
21024 492048 153
21058 305809 24
21061 109538 37
21063 444815 79
21102 274186 201
21111 336996 55
21112 249438 1
21134 166592 34
21156 442166 9
21164 205156 121
21172 394378 176
21199 67030 45
21207 175744 64
21216 258518 77
21227 142719 16
21268 308366 191
21279 456479 211
21308 387276 112
21336 76268 31
21357 187940 21
21361 365430 25
21374 457957 58
21377 26180 188
21378 31106 129
21396 455548 148
21436 416136 49
21457 326650 44
21471 458929 49
21474 114884 37
21476 247336 169
21478 312021 138
21505 146402 61
21517 187342 165
21526 226530 5
21533 232408 69
21534 491909 122
21546 192522 137
21591 241610 34
21631 130378 179
21640 200427 25
21667 457803 193
21674 237879 77
21687 157106 20
21710 471496 137
21715 282776 81
21762 140406 12
21767 17854 159
21769 497454 204
21800 122291 141
21807 29462 43
21820 108440 129
21822 454534 160
21838 457243 53
21866 121492 173
21867 200435 9
21879 223646 166
21884 12035 70
21933 446962 166
21975 88636 193
22022 322460 56
22053 419441 149
22070 54468 183
22080 440404 81
22097 179544 121
22127 227142 93
22148 8440 133
22157 307350 135
22176 106104 7
22188 60518 126
22192 472527 131
22197 146823 86
22215 340519 194
22222 406414 126
22243 490372 160
22266 251899 167
22282 217900 201
22283 411645 205
22309 161350 102
22314 139230 157
22329 44818 205
22372 285424 41
22390 189714 125
22395 50516 105
22421 181016 11
22438 233834 69
22556 306444 50
22570 84071 39
22572 59943 141
22581 336926 116
22598 159506 88
22627 72000 113
22637 171709 50
22660 141498 87
22690 191468 23
22698 469946 115
22718 257408 201
22723 495328 83
22746 396128 113
22796 374326 81
22828 415946 169
22866 188178 41
22903 112136 19
22911 359264 141
22987 446891 11
23002 445501 202
23025 378486 151
23027 493135 102
23069 157736 193
23091 480521 189
23101 402700 68
23105 253227 61
23124 275855 203
23139 305228 89
23173 175928 185
23237 325604 183
23255 405731 181
23258 295552 14
23275 326774 45
23281 242322 138
23284 103862 38
23295 107794 90
23327 145615 113
23328 410320 132
23380 388184 136
23398 279946 176
23408 431129 184
23415 167246 101
23427 418493 5
23441 47676 16
23465 293050 190
23469 488292 84
23478 143423 72
23495 433977 81
23514 414677 107
23517 115213 160
23538 166093 109
23550 129412 73
23553 76775 30
23566 265286 78
23569 121830 91
23574 47447 103
23575 474566 154
23577 44021 37
23597 40162 77
23647 486129 201
23662 11727 51
23697 59786 49
23700 143606 3
23712 227694 69
23765 215332 7
23770 490133 103
23785 240195 150
23789 385754 209
23798 325864 193
23818 149982 54
23821 276477 197
23826 446937 146
23829 454596 17
23846 429594 17
23853 126078 162
23894 102812 27
23895 471181 163
23905 437782 77
23923 469113 172
23934 43769 45
23951 318379 122
23955 353930 215
23993 339514 9
23995 79956 89
24010 98051 142
24044 302834 28
24046 477587 177
24096 428190 151
24110 423787 199
24143 380633 42
24153 321194 201
24158 430152 132
24210 357071 146
24231 426620 182
24252 133346 22
24261 327292 137
24308 173811 20
24315 159509 78
24328 6492 165
24330 448526 210
24339 364423 201
24352 325428 207
24392 185136 86
24416 140053 17
24427 427730 74
24453 85509 79
24458 150414 126
24465 103226 20
24466 298593 59
24494 43330 108
24570 276295 109
24595 447262 73
24599 415889 175
24601 428260 80
24629 352992 209
24635 324575 85
24653 16364 219
24667 32680 184
24668 320862 137
24776 412726 97
24783 306707 145
24801 225880 211
24806 172202 158
24808 131622 123
24824 482306 69
24848 438102 127
24879 347062 70
24886 168516 129
24887 179174 175
24892 292524 64
24919 53510 141
24927 454331 193
24943 351008 143
24948 357825 126
24966 492126 37
24970 348940 60
24995 364483 126
25002 474234 210
25010 107398 1
25015 297572 109
25026 397585 59
25041 22714 171
25150 428068 38
25166 260177 91
25175 323023 154
25177 94766 102
25181 136536 163
25202 73677 124
25215 253604 183
25222 432878 129
25236 251737 111
25238 456693 21
25261 239899 179
25263 276965 17
25271 329078 153
25278 391132 172
25279 371956 103
25314 322970 129
25334 235549 81
25369 490280 82
25379 283732 150
25466 316741 207
25472 24018 74
25485 233032 96
25496 4488 52
25508 492274 51
25514 339098 125
25523 8604 97
25537 13664 113
25544 174605 75
25559 202877 79
25602 489406 17
25603 123501 135
25611 405712 81
25627 308335 171
25630 437619 135
25661 184627 185
25748 432756 181
25777 403724 193
25796 123106 15
25803 131840 115
25828 198039 9
25850 290301 8
25852 440356 77
25854 259052 91
25876 247102 89
25878 172642 217
25893 424326 59
25928 149249 198
25968 263858 24
25989 277701 126
26014 290509 22
26017 8102 180
26026 356672 5
26033 399071 60
26037 149996 42
26052 477793 37
26066 432894 42
26070 446982 148
26099 109980 73
26120 171082 13
26137 311097 213
26156 263597 67
26162 658 191
26171 494243 190
26201 7462 58
26209 151839 115
26238 118494 172
26249 64124 85
26254 178381 9
26309 497618 175
26318 190706 48
26350 314658 81
26360 112514 198
26361 422394 48
26364 80425 35
26376 289211 31
26385 285702 63
26387 19607 20
26395 192178 32
26409 286248 6
26426 6563 109
26483 19142 12
26496 6664 66
26508 490662 84
26517 69672 39
26530 43186 101
26536 387027 49
26562 151678 96
26589 210648 102
26591 309888 27
26601 170664 195
26609 370164 89
26611 190280 85
26633 65446 104
26637 329972 167
26646 370570 47
26647 306394 35
26656 320575 81
26661 396662 163
26692 199638 49
26746 70466 7
26753 80853 183
26774 166903 15
26779 469617 59
26794 131654 167
26899 325770 205
26902 138658 150
26904 63082 61
26913 454477 57
26922 385654 110
26964 332624 179
26976 159141 11
27007 316218 209
27018 201466 51
27024 338534 113
27027 82518 156
27038 321084 139
27053 376702 9
27060 26379 36
27063 51390 22
27079 221509 40
27106 430508 51
27110 265665 11
27122 237190 145
27149 459458 87
27176 381811 68
27178 387802 145
27179 52194 49
27215 454931 27
27223 60474 167
27230 390621 89
27234 348058 10
27254 495598 93
27294 43544 5
27295 318348 24
27357 163837 159
27370 112693 62
27386 195637 164
27392 468415 25
27404 339861 87
27448 421142 180
27496 365923 13
27507 449175 41
27511 453684 125
27515 385981 137
27552 97168 121
27553 15204 173
27568 171762 201
27571 297046 157
27575 205556 50
27594 102942 35
27607 262787 175
27612 58242 45
27633 179817 73
27650 269705 114
27707 215184 144
27708 375894 86
27711 307860 79
27721 484258 1
27723 248658 112
27734 355007 6
27738 26652 106
27769 275110 60
27795 24938 54
27816 117298 108
27912 88706 44
28003 140982 89
28029 468872 57
28056 181715 60
28060 328556 80
28062 248886 73
28068 352660 119
28084 426522 123
28103 451172 65
28131 372966 98
28141 311182 99
28194 243398 49
28206 328181 119
28229 416123 189
28260 144832 139
28263 184173 67
28277 202418 161
28289 48884 133
28294 232648 97
28304 353256 123
28322 480459 10
28326 173683 218
28334 124210 188
28373 407154 197
28398 350762 44
28415 159925 142
28423 291349 155
28435 293369 115
28453 401069 168
28456 343895 126
28465 38357 204
28472 413194 52
28494 176890 156
28509 243668 211
28522 285633 17
28527 26593 1
28563 429214 210
28569 442830 169
28589 337338 5
28667 100030 68
28699 289844 178
28742 377177 163
28748 288606 191
28755 293577 120
28789 158025 1
28800 306479 62
28849 428936 169
28850 274748 190
28872 382276 200
28894 287982 123
28914 88387 141
28954 438751 79
28956 431447 113
28979 359374 137
28982 331954 129
29020 64879 71
29052 313882 145
29056 330443 139
29075 282289 90
29076 65177 178
29140 376830 180
29174 25377 196
29182 118959 187
29224 340318 147
29241 208394 80
29244 176814 76
29261 420343 76
29274 165368 180
29276 266624 160
29312 34462 71
29323 91036 127
29325 468311 65
29346 342235 201
29391 204294 77
29396 403742 111
29403 338380 39
29409 188756 116
29461 497270 95
29485 426861 83
29498 180473 130
29506 263757 6
29536 328014 158
29547 253105 167
29564 94646 141
29571 207191 193
29588 313560 122
29631 404069 81
29633 7981 131
29647 40504 121
